,Card Pack Type,Card Name,Card Rarity,Card No.,Card Value ($),Pack Number,Foil,Gold Edition,Silver Edition,First Edition,EX Cards,Full Art ,Normal
1,Destiny Basic,Anguifish,Common,1261,0.08,1,No,No,No,No,No,No,Yes
2,Destiny Basic,Flamchik,Common,1333,0.16,1,No,No,No,No,No,No,Yes
3,Destiny Basic,Pigni,Common,2,2.06,1,No,No,No,Yes,No,No,No
4,Destiny Basic,Minstar,Common,193,0.15,1,No,No,No,No,No,No,Yes
5,Destiny Basic,Wurmgle,Common,289,0.29,1,No,No,No,No,No,No,Yes
6,Destiny Basic,Nimblis,Common,973,0.18,1,No,No,No,No,No,No,Yes
7,Destiny Basic,Sludglop,Common,1405,0.16,1,No,No,No,No,No,No,Yes
8,Destiny Basic,Sunflork,Common,908,13.95,2,Yes,No,No,Yes,No,No,No
9,Destiny Basic,Minstar,Common,193,0.15,2,No,No,No,No,No,No,Yes
10,Destiny Basic,Shellow,Common,241,0.2,2,No,No,No,No,No,No,Yes
11,Destiny Basic,Flamchik,Common,1333,0.16,2,No,No,No,No,No,No,Yes
12,Destiny Basic,Werboo,Common,505,0.21,2,No,No,No,No,No,No,Yes
13,Destiny Basic,Tetron,Common,805,0.16,2,No,No,No,No,No,No,Yes
14,Destiny Basic,Gupi,Common,710,1.85,2,No,No,No,Yes,No,No,No
15,Destiny Basic,Pigni,Common,1,0.35,3,No,No,No,No,No,No,Yes
16,Destiny Basic,Anguifish,Common,1263,1.65,3,No,No,Yes,No,No,No,No
17,Destiny Basic,Clawop,Common,853,0.24,3,No,No,No,No,No,No,Yes
18,Destiny Basic,Tetron,Common,805,0.16,3,No,No,No,No,No,No,Yes
19,Destiny Basic,Shellow,Common,241,0.2,3,No,No,No,No,No,No,Yes
20,Destiny Basic,Nimblis,Common,975,0.81,3,No,No,Yes,No,No,No,No
21,Destiny Basic,Mufflin,Common,1225,0.25,3,No,No,No,No,No,No,Yes
22,Destiny Basic,Minstar,Common,193,0.15,4,No,No,No,No,No,No,Yes
23,Destiny Basic,Pigni,Common,1,0.35,4,No,No,No,No,No,No,Yes
24,Destiny Basic,Kyrone,Common,554,1.11,4,No,No,No,Yes,No,No,No
25,Destiny Basic,Poseia,Common,1357,0.04,4,No,No,No,No,No,No,Yes
26,Destiny Basic,Tetron,Common,805,0.16,4,No,No,No,No,No,No,Yes
27,Destiny Basic,Lupup,Common,661,0.3,4,No,No,No,No,No,No,Yes
28,Destiny Basic,Wurmgle,Common,289,0.29,4,No,No,No,No,No,No,Yes
29,Destiny Basic,Flamchik,Common,1333,0.16,5,No,No,No,No,No,No,Yes
30,Destiny Basic,Batrang,Common,758,0.52,5,No,No,No,Yes,No,No,No
31,Destiny Basic,Lupup,Common,661,0.3,5,No,No,No,No,No,No,Yes
32,Destiny Basic,Clawop,Common,856,5.61,5,No,Yes,No,No,No,No,No
33,Destiny Basic,Gupi,Common,715,7.1,5,Yes,No,No,No,No,No,Yes
34,Destiny Basic,Seedant,Common,1123,6.3,5,Yes,No,No,No,No,No,Yes
35,Destiny Basic,Flami,Common,518,0.98,5,No,No,No,Yes,No,No,No
36,Destiny Basic,Sunflork,Common,901,0.37,6,No,No,No,No,No,No,Yes
37,Destiny Basic,Flamchik,Common,1333,0.16,6,No,No,No,No,No,No,Yes
38,Destiny Basic,Minstar,Common,193,0.15,6,No,No,No,No,No,No,Yes
39,Destiny Basic,Lupup,Common,661,0.3,6,No,No,No,No,No,No,Yes
40,Destiny Basic,Wurmgle,Common,289,0.29,6,No,No,No,No,No,No,Yes
