,Card Pack Type,Card Name,Card Rarity,Card No.,Card Value ($),Pack Number,Foil,Gold Edition,Silver Edition,First Edition,EX Cards,Full Art,Normal
1,Destiny Legendary,Bogon,Legendary,614,2.02,1,No,No,No,Yes,No,No,No
2,Destiny Legendary,Jigajawr,Legendary,748,13.72,1,No,Yes,No,No,No,No,No
3,Destiny Legendary,Lucadence,Legendary,697,0.73,1,No,No,No,No,No,No,Yes
4,Destiny Legendary,Flambrolly,Legendary,1093,0.81,1,No,No,No,No,No,No,Yes
5,Destiny Legendary,Katengu,Legendary,1214,1.56,1,No,No,No,Yes,No,No,No
6,Destiny Legendary,Mammotree,Legendary,182,1.99,1,No,No,No,Yes,No,No,No
7,Destiny Legendary,Terradrakon,Legendary,1321,0.67,1,No,No,No,No,No,No,Yes
8,Destiny Legendary,Jacktern,Legendary,793,0.67,2,No,No,No,No,No,No,Yes
9,Destiny Legendary,Dracunix,Legendary,373,0.56,2,No,No,No,No,No,No,Yes
10,Destiny Legendary,GigatronX,Legendary,842,2.04,2,No,No,No,Yes,No,No,No
11,Destiny Legendary,Giganite,Legendary,133,0.48,2,No,No,No,No,No,No,Yes
12,Destiny Legendary,Magnoria,Legendary,493,0.59,2,No,No,No,No,No,No,Yes
13,Destiny Legendary,Fistronk,Legendary,277,0.96,2,No,No,No,No,No,No,Yes
14,Destiny Legendary,Talonryu,Legendary,1189,0.8,2,No,No,No,No,No,No,Yes
15,Destiny Legendary,Poseidrake,Legendary,1393,0.89,3,No,No,No,No,No,No,Yes
16,Destiny Legendary,Magnoria,Legendary,493,0.59,3,No,No,No,No,No,No,Yes
17,Destiny Legendary,Lucadence,Legendary,700,16.38,3,No,Yes,No,No,No,No,No
18,Destiny Legendary,Blazoar,Legendary,38,2.19,3,No,No,No,Yes,No,No,No
19,Destiny Legendary,Mammotree,Legendary,181,0.67,3,No,No,No,No,No,No,Yes
20,Destiny Legendary,Raizon,Legendary,638,2.04,3,No,No,No,Yes,No,No,No
21,Destiny Legendary,Hydroid,Legendary,592,12.4,3,No,Yes,No,No,No,No,No
22,Destiny Legendary,Jacktern,Legendary,793,0.67,4,No,No,No,No,No,No,Yes
23,Destiny Legendary,Fistronk,Legendary,283,5.22,4,Yes,No,No,No,No,No,Yes
24,Destiny Legendary,Raizon,Legendary,637,0.63,4,No,No,No,No,No,No,Yes
25,Destiny Legendary,Hydroid,Legendary,589,0.67,4,No,No,No,No,No,No,Yes
26,Destiny Legendary,Bogon,Legendary,614,2.02,4,No,No,No,Yes,No,No,No
27,Destiny Legendary,Magnoria,Legendary,495,3.14,4,No,No,Yes,No,No,No,No
28,Destiny Legendary,Voltrex,Legendary,1057,0.65,4,No,No,No,No,No,No,Yes
29,Destiny Legendary,Hydroid,Legendary,589,0.67,5,No,No,No,No,No,No,Yes
30,Destiny Legendary,Dracunix,Legendary,379,6.41,5,Yes,No,No,No,No,No,Yes
31,Destiny Legendary,Poseidrake,Legendary,1393,0.89,5,No,No,No,No,No,No,Yes
32,Destiny Legendary,Clawcifear,Legendary,889,0.8,5,No,No,No,No,No,No,Yes
33,Destiny Legendary,Jigajawr,Legendary,745,0.87,5,No,No,No,No,No,No,Yes
34,Destiny Legendary,Talonryu,Legendary,1189,0.8,5,No,No,No,No,No,No,Yes
35,Destiny Legendary,Giganite,Legendary,133,0.48,5,No,No,No,No,No,No,Yes
36,Destiny Legendary,Kyuenbi,Legendary,85,0.76,6,No,No,No,No,No,No,Yes
37,Destiny Legendary,Magnoria,Legendary,494,1.97,6,No,No,No,Yes,No,No,No
38,Destiny Legendary,Clawcifear,Legendary,889,0.8,6,No,No,No,No,No,No,Yes
39,Destiny Legendary,Hydron,Legendary,628,8.7,6,No,Yes,No,No,No,No,No
40,Destiny Legendary,Royalama,Legendary,326,1.74,6,No,No,No,Yes,No,No,No
41,Destiny Legendary,Kingstar,Legendary,229,0.91,6,No,No,No,No,No,No,Yes
42,Destiny Legendary,GigatronX,Legendary,842,2.04,6,No,No,No,Yes,No,No,No
43,Destiny Legendary,Royalama,Legendary,326,1.74,7,No,No,No,Yes,No,No,No
44,Destiny Legendary,Kingstar,Legendary,229,0.91,7,No,No,No,No,No,No,Yes
45,Destiny Legendary,Blazoar,Legendary,39,4.35,7,No,No,Yes,No,No,No,No
46,Destiny Legendary,Jacktern,Legendary,796,10.69,7,No,Yes,No,No,No,No,No
47,Destiny Legendary,Fistronk,Legendary,277,0.96,7,No,No,No,No,No,No,Yes
48,Destiny Legendary,Katengu,Legendary,1213,0.59,7,No,No,No,No,No,No,Yes
49,Destiny Legendary,Poseidrake,Legendary,1393,0.89,7,No,No,No,No,No,No,Yes
50,Destiny Legendary,Clawcifear,Legendary,889,0.8,8,No,No,No,No,No,No,Yes
51,Destiny Legendary,Flambrolly,Legendary,1093,0.81,8,No,No,No,No,No,No,Yes
52,Destiny Legendary,Voltrex,Legendary,1057,0.65,8,No,No,No,No,No,No,Yes
53,Destiny Legendary,Raizon,Legendary,638,2.04,8,No,No,No,Yes,No,No,No
54,Destiny Legendary,Drakon,Legendary,601,0.88,8,No,No,No,No,No,No,Yes
55,Destiny Legendary,Hydroid,Legendary,589,0.67,8,No,No,No,No,No,No,Yes
56,Destiny Legendary,Kingstar,Legendary,229,0.91,8,No,No,No,No,No,No,Yes
57,Destiny Legendary,Magnoria,Legendary,493,0.59,9,No,No,No,No,No,No,Yes
58,Destiny Legendary,Bogon,Legendary,613,0.83,9,No,No,No,No,No,No,Yes
59,Destiny Legendary,Fistronk,Legendary,278,2.22,9,No,No,No,Yes,No,No,No
60,Destiny Legendary,Hydron,Legendary,626,2.04,9,No,No,No,Yes,No,No,No
61,Destiny Legendary,Voltrex,Legendary,1057,0.65,9,No,No,No,No,No,No,Yes
62,Destiny Legendary,Kingstar,Legendary,231,3.73,9,No,No,Yes,No,No,No,No
63,Destiny Legendary,Poseidrake,Legendary,1393,0.89,9,No,No,No,No,No,No,Yes
64,Destiny Legendary,Toximuck,Legendary,1441,0.76,10,No,No,No,No,No,No,Yes
65,Destiny Legendary,Flambrolly,Legendary,1097,30.72,10,No,No,No,No,Yes,No,No
66,Destiny Legendary,Katengu,Legendary,1214,1.56,10,No,No,No,Yes,No,No,No
67,Destiny Legendary,Raizon,Legendary,637,0.63,10,No,No,No,No,No,No,Yes
68,Destiny Legendary,Hydroid,Legendary,589,0.67,10,No,No,No,No,No,No,Yes
69,Destiny Legendary,Kingstar,Legendary,229,0.91,10,No,No,No,No,No,No,Yes
70,Destiny Legendary,GigatronX,Legendary,841,0.61,10,No,No,No,No,No,No,Yes
71,Destiny Legendary,Kyuenbi,Legendary,85,0.76,11,No,No,No,No,No,No,Yes
72,Destiny Legendary,Fistronk,Legendary,277,0.96,11,No,No,No,No,No,No,Yes
73,Destiny Legendary,Hydroid,Legendary,589,0.67,11,No,No,No,No,No,No,Yes
74,Destiny Legendary,Bogon,Legendary,614,2.02,11,No,No,No,Yes,No,No,No
75,Destiny Legendary,Royalama,Legendary,325,0.49,11,No,No,No,No,No,No,Yes
76,Destiny Legendary,Kingstar,Legendary,229,0.91,11,No,No,No,No,No,No,Yes
77,Destiny Legendary,Mammotree,Legendary,181,0.67,11,No,No,No,No,No,No,Yes
78,Destiny Legendary,Voltrex,Legendary,1057,0.65,12,No,No,No,No,No,No,Yes
79,Destiny Legendary,Flambrolly,Legendary,1094,1.42,12,No,No,No,Yes,No,No,No
80,Destiny Legendary,Katengu,Legendary,1213,0.59,12,No,No,No,No,No,No,Yes
81,Destiny Legendary,Raizon,Legendary,637,0.63,12,No,No,No,No,No,No,Yes
82,Destiny Legendary,Kingstar,Legendary,229,0.91,12,No,No,No,No,No,No,Yes
83,Destiny Legendary,Jacktern,Legendary,793,0.67,12,No,No,No,No,No,No,Yes
84,Destiny Legendary,Blazoar,Legendary,37,0.79,12,No,No,No,No,No,No,Yes
85,Destiny Legendary,Dracunix,Legendary,373,0.56,13,No,No,No,No,No,No,Yes
86,Destiny Legendary,Lucadence,Legendary,698,1.58,13,No,No,No,No,No,No,Yes
87,Destiny Legendary,FIstronk,Legendary,277,0.96,13,No,No,No,No,No,No,Yes
88,Destiny Legendary,Hydroid,Legendary,589,0.67,13,No,No,No,No,No,No,Yes
89,Destiny Legendary,Jacktern,Legendary,793,0.67,13,No,No,No,No,No,No,Yes
90,Destiny Legendary,Royalama,Legendary,325,0.49,13,No,No,No,No,No,No,Yes
91,Destiny Legendary,Kyuenbi,Legendary,91,6.01,13,Yes,No,No,No,No,No,Yes
92,Destiny Legendary,Raizon,Legendary,637,0.63,14,No,No,No,No,No,No,Yes
93,Destiny Legendary,Flambrolly,Legendary,1093,0.81,14,No,No,No,No,No,No,Yes
94,Destiny Legendary,Magnoria,Legendary,494,1.97,14,No,No,No,Yes,No,No,No
95,Destiny Legendary,Toximuck,Legendary,1442,1.58,14,No,No,No,Yes,No,No,No
96,Destiny Legendary,Royalama,Legendary,326,1.74,14,No,No,No,Yes,No,No,No
97,Destiny Legendary,Terradrakon,Legendary,1322,2.16,14,No,No,No,Yes,No,No,No
98,Destiny Legendary,Clawcifear,Legendary,889,0.8,14,No,No,No,No,No,No,Yes
99,Destiny Legendary,Jacktern,Legendary,793,0.67,15,No,No,No,No,No,No,Yes
100,Destiny Legendary,Dracunix,Legendary,374,1.79,15,No,No,No,Yes,No,No,No
101,Destiny Legendary,Terradrakon,Legendary,1321,0.67,15,No,No,No,No,No,No,Yes
102,Destiny Legendary,Talonryu,Legendary,1189,0.8,15,No,No,No,No,No,No,Yes
103,Destiny Legendary,Hydroid,Legendary,590,2.26,15,No,No,No,Yes,No,No,No
104,Destiny Legendary,Clawcifear,Legendary,889,0.8,15,No,No,No,No,No,No,Yes
105,Destiny Legendary,GigatronX,Legendary,841,0.61,15,No,No,No,No,No,No,Yes
106,Destiny Legendary,Drakon,Legendary,601,0.88,16,No,No,No,No,No,No,Yes
107,Destiny Legendary,Kingstar,Legendary,229,0.91,16,No,No,No,No,No,No,Yes
108,Destiny Legendary,Lucadence,Legendary,697,0.73,16,No,No,No,No,No,No,Yes
109,Destiny Legendary,Royalama,Legendary,325,0.49,16,No,No,No,No,No,No,Yes
110,Destiny Legendary,Dracunix,Legendary,373,0.56,16,No,No,No,No,No,No,Yes
111,Destiny Legendary,Kyuenbi,Legendary,86,2.16,16,No,No,No,Yes,No,No,No
112,Destiny Legendary,Voltrex,Legendary,1065,33.99,16,Yes,No,Yes,No,No,No,No
113,Destiny Legendary,Royalama,Legendary,325,0.49,17,No,No,No,No,No,No,Yes
114,Destiny Legendary,Kyuenbi,Legendary,85,0.76,17,No,No,No,No,No,No,Yes
115,Destiny Legendary,Toximuck,Legendary,1441,0.76,17,No,No,No,No,No,No,Yes
116,Destiny Legendary,Clawcifear,Legendary,889,0.8,17,No,No,No,No,No,No,Yes
117,Destiny Legendary,Flambrolly,Legendary,1093,0.81,17,No,No,No,No,No,No,Yes
118,Destiny Legendary,N/A,Legendary,N/A,4073.65,17,Yes,No,No,No,No,Yes,No
119,Destiny Legendary,Blazoar,Legendary,37,0.79,17,No,No,No,No,No,No,Yes
120,Destiny Legendary,Talonryu,Legendary,1195,6.48,18,Yes,No,No,No,No,No,Yes
121,Destiny Legendary,Jacktern,Legendary,793,0.67,18,No,No,No,No,No,No,Yes
122,Destiny Legendary,Dracunix,Legendary,379,6.41,18,Yes,No,No,No,No,No,Yes
123,Destiny Legendary,Hydron,Legendary,626,2.04,18,No,No,No,Yes,No,No,No
124,Destiny Legendary,Kingstar,Legendary,229,0.91,18,No,No,No,No,No,No,Yes
125,Destiny Legendary,Bogon,Legendary,613,0.83,18,No,No,No,No,No,No,Yes
126,Destiny Legendary,Flambrolly,Legendary,1093,0.81,18,No,No,No,No,No,No,Yes
127,Destiny Legendary,Jigajawr,Legendary,745,0.87,19,No,No,No,No,No,No,Yes
128,Destiny Legendary,Magnoria,Legendary,502,185.12,19,Yes,Yes,No,No,No,No,No
129,Destiny Legendary,Jacktern,Legendary,793,0.67,19,No,No,No,No,No,No,Yes
130,Destiny Legendary,Katengu,Legendary,1214,1.56,19,No,No,No,Yes,No,No,No
131,Destiny Legendary,Voltrex,Legendary,1057,0.65,19,No,No,No,No,No,No,Yes
132,Destiny Legendary,Hydron,Legendary,626,2.04,19,No,No,No,Yes,No,No,No
133,Destiny Legendary,Talonryu,Legendary,1192,14.74,19,No,Yes,No,No,No,No,No
134,Destiny Legendary,Hydron,Legendary,625,0.99,20,No,No,No,No,No,No,Yes
135,Destiny Legendary,Voltrex,Legendary,1057,0.65,20,No,No,No,No,No,No,Yes
136,Destiny Legendary,Magnoria,Legendary,493,0.59,20,No,No,No,No,No,No,Yes
137,Destiny Legendary,Katengu,Legendary,1213,0.59,20,No,No,No,No,No,No,Yes
138,Destiny Legendary,Hydroid,Legendary,595,10.47,20,Yes,No,No,No,No,No,Yes
139,Destiny Legendary,Jigajawr,Legendary,754,247.52,20,Yes,Yes,No,No,No,No,No
140,Destiny Legendary,Toximuck,Legendary,1442,1.58,20,No,No,No,Yes,No,No,No
141,Destiny Legendary,Hydron,Legendary,625,0.99,21,No,No,No,No,No,No,Yes
142,Destiny Legendary,Talonryu,Legendary,1191,3.91,21,No,No,Yes,No,No,No,No
143,Destiny Legendary,FIstronk,Legendary,277,0.96,21,No,No,No,No,No,No,Yes
144,Destiny Legendary,Toximuck,Legendary,1442,1.58,21,No,No,No,Yes,No,No,No
145,Destiny Legendary,Blazoar,Legendary,40,11.99,21,No,Yes,No,No,No,No,No
146,Destiny Legendary,Voltrex,Legendary,1057,0.65,21,No,No,No,No,No,No,Yes
147,Destiny Legendary,Poseidrake,Legendary,1393,0.89,21,No,No,No,No,No,No,Yes
148,Destiny Legendary,Hydron,Legendary,627,4.21,22,No,No,Yes,No,No,No,No
149,Destiny Legendary,Lucadence,Legendary,697,0.73,22,No,No,No,No,No,No,Yes
150,Destiny Legendary,Royalama,Legendary,328,13.03,22,No,Yes,No,No,No,No,No
151,Destiny Legendary,Toximuck,Legendary,1447,9.29,22,Yes,No,No,No,No,No,Yes
152,Destiny Legendary,Mammotree,Legendary,181,0.67,22,No,No,No,No,No,No,Yes
153,Destiny Legendary,Giganite,Legendary,133,0.48,22,No,No,No,No,No,No,Yes
154,Destiny Legendary,Raizon,Legendary,637,0.63,22,No,No,No,No,No,No,Yes
155,Destiny Legendary,Fistronk,Legendary,277,0.96,23,No,No,No,No,No,No,Yes
156,Destiny Legendary,Bogon,Legendary,614,2.02,23,No,No,No,Yes,No,No,No
157,Destiny Legendary,Raizon,Legendary,637,0.63,23,No,No,No,No,No,No,Yes
158,Destiny Legendary,Giganite,Legendary,133,0.48,23,No,No,No,No,No,No,Yes
159,Destiny Legendary,Dracunix,Legendary,373,0.56,23,No,No,No,No,No,No,Yes
160,Destiny Legendary,Poseidrake,Legendary,1393,0.89,23,No,No,No,No,No,No,Yes
