,Card Pack Type,Card Name,Card Rarity,Card No.,Card Value ($),Pack Number,Foil,Gold Edition,Silver Edition,First Edition,EX Cards,Full Art,Normal
1,Destiny Rare,Pixy,Rare,471,3.33,1,No,No,Yes,No,No,No,No
2,Destiny Rare,Dusko,Rare,769,0.3,1,No,No,No,No,No,No,Yes
3,Destiny Rare,Clamigo,Rare,253,0.39,1,No,No,No,No,No,No,Yes
4,Destiny Rare,Crosilisk,Rare,949,0.31,1,No,No,No,No,No,No,Yes
5,Destiny Rare,Lumie,Rare,1105,0.37,1,No,No,No,No,No,No,Yes
6,Destiny Rare,Luphire,Rare,673,0.23,1,No,No,No,No,No,No,Yes
7,Destiny Rare,Pyropeck,Rare,1346,0.7,1,No,No,No,Yes,No,No,No
8,Destiny Rare,Decimite,Rare,110,0.94,2,No,No,No,Yes,No,No,No
9,Destiny Rare,Burpig,Rare,13,0.31,2,No,No,No,No,No,No,Yes
10,Destiny Rare,Luphire,Rare,674,1.37,2,No,No,No,Yes,No,No,No
11,Destiny Rare,Sludgetox,Rare,1417,0.29,2,No,No,No,No,No,No,Yes
12,Destiny Rare,Angez,Rare,531,2.35,2,No,No,Yes,No,No,No,No
13,Destiny Rare,Clawdos,Rare,866,1.54,2,No,No,No,Yes,No,No,No
14,Destiny Rare,Nimboculo,Rare,987,3.71,2,No,No,Yes,No,No,No,No
15,Destiny Rare,Angez,Rare,529,0.29,3,No,No,No,No,No,No,Yes
16,Destiny Rare,Nimboculo,Rare,985,0.43,3,No,No,No,No,No,No,Yes
17,Destiny Rare,Jeliclean,Rare,421,0.33,3,No,No,No,No,No,No,Yes
18,Destiny Rare,Dusko,Rare,770,1.2,3,No,No,No,Yes,No,No,No
19,Destiny Rare,Budwing,Rare,1131,2.1,3,No,No,Yes,No,No,No,No
20,Destiny Rare,Twofrost,Rare,566,0.95,3,No,No,No,Yes,No,No,No
21,Destiny Rare,Sharfin,Rare,722,1.9,3,No,No,No,Yes,No,No,No
22,Destiny Rare,Mummog,Rare,445,0.33,4,No,No,No,No,No,No,Yes
23,Destiny Rare,Scarlios,Rare,913,0.32,4,No,No,No,No,No,No,Yes
24,Destiny Rare,Clamigo,Rare,253,0.39,4,No,No,No,No,No,No,Yes
25,Destiny Rare,Pixy,Rare,471,3.33,4,No,No,Yes,No,No,No,No
26,Destiny Rare,Budwing,Rare,1129,0.3,4,No,No,No,No,No,No,Yes
27,Destiny Rare,Posteed,Rare,1369,0.42,4,No,No,No,No,No,No,Yes
28,Destiny Rare,Luphire,Rare,677,35.84,4,No,No,No,No,Yes,No,No
29,Destiny Rare,Lumie,Rare,1105,0.37,5,No,No,No,No,No,No,Yes
30,Destiny Rare,Decimite,Rare,109,0.18,5,No,No,No,No,No,No,Yes
31,Destiny Rare,Pyropeck,Rare,1345,0.25,5,No,No,No,No,No,No,Yes
32,Destiny Rare,Luphire,Rare,673,0.23,5,No,No,No,No,No,No,Yes
33,Destiny Rare,Crablox,Rare,1069,0.46,5,No,No,No,No,No,No,Yes
34,Destiny Rare,Clamigo,Rare,253,0.39,5,No,No,No,No,No,No,Yes
35,Destiny Rare,Twofrost,Rare,565,0.41,5,No,No,No,No,No,No,Yes
36,Destiny Rare,Mummog,Rare,451,4.75,6,Yes,No,No,No,No,No,Yes
37,Destiny Rare,Esmerock,Rare,1021,0.31,6,No,No,No,No,No,No,Yes
38,Destiny Rare,Crosilisk,Rare,949,0.31,6,No,No,No,No,No,No,Yes
39,Destiny Rare,Pixy,Rare,471,3.33,6,No,No,Yes,No,No,No,No
40,Destiny Rare,N/A,Rare,N/A,69.86,6,Yes,No,No,No,No,Yes,No
41,Destiny Rare,Decimite,Rare,109,0.18,6,No,No,No,No,No,No,Yes
42,Destiny Rare,Wispo,Rare,439,4.81,6,Yes,No,No,No,No,No,Yes
43,Destiny Rare,Beakai,Rare,1153,0.15,7,No,No,No,No,No,No,Yes
44,Destiny Rare,Budwing,Rare,1129,0.3,7,No,No,No,No,No,No,Yes
45,Destiny Rare,Muffleur,Rare,1238,0.48,7,No,No,No,Yes,No,No,No
46,Destiny Rare,Clamigo,Rare,253,0.39,7,No,No,No,No,No,No,Yes
47,Destiny Rare,Luphire,Rare,676,6.05,7,No,Yes,No,No,No,No,No
48,Destiny Rare,Sludgetox,Rare,1417,0.29,7,No,No,No,No,No,No,Yes
49,Destiny Rare,Minotos,Rare,385,0.33,7,No,No,No,No,No,No,Yes
50,Destiny Rare,Lunight,Rare,349,0.32,8,No,No,No,No,No,No,Yes
51,Destiny Rare,Crablox,Rare,1069,0.46,8,No,No,No,No,No,No,Yes
52,Destiny Rare,Burpig,Rare,14,0.9,8,No,No,No,Yes,No,No,No
53,Destiny Rare,Frizard,Rare,1297,0.34,8,No,No,No,No,No,No,Yes
54,Destiny Rare,Dusko,Rare,775,6.71,8,Yes,No,No,No,No,No,Yes
55,Destiny Rare,Twofrost,Rare,565,0.41,8,No,No,No,No,No,No,Yes
56,Destiny Rare,Lunight,Rare,349,0.32,8,No,No,No,No,No,No,Yes
57,Destiny Rare,Jeliclean,Rare,422,1.07,9,No,No,No,Yes,No,No,No
58,Destiny Rare,Muffleur,Rare,1237,0.19,9,No,No,No,No,No,No,Yes
59,Destiny Rare,Raxx,Rare,817,0.22,9,No,No,No,No,No,No,Yes
60,Destiny Rare,Decimite,Rare,112,5.19,9,No,Yes,No,No,No,No,No
61,Destiny Rare,Dusko,Rare,770,1.2,9,No,No,No,Yes,No,No,No
62,Destiny Rare,Nimboculo,Rare,985,0.43,9,No,No,No,No,No,No,Yes
63,Destiny Rare,Crosilisk,Rare,949,0.31,9,No,No,No,No,No,No,Yes
64,Destiny Rare,Burpig,Rare,13,0.31,10,No,No,No,No,No,No,Yes
65,Destiny Rare,Angez,Rare,529,0.29,10,No,No,No,No,No,No,Yes
66,Destiny Rare,Dusko,Rare,770,1.2,10,No,No,No,Yes,No,No,No
67,Destiny Rare,Bonfiox,Rare,61,0.22,10,No,No,No,No,No,No,Yes
68,Destiny Rare,Budwing,Rare,1129,0.3,10,No,No,No,No,No,No,Yes
69,Destiny Rare,Esmerock,Rare,1023,4.21,10,No,No,Yes,No,No,No,No
70,Destiny Rare,Frizard,Rare,1300,7.47,10,No,Yes,No,No,No,No,No
71,Destiny Rare,Jeliclean,Rare,421,0.33,11,No,No,No,No,No,No,Yes
72,Destiny Rare,Clawdos,Rare,866,1.54,11,No,No,No,Yes,No,No,No
73,Destiny Rare,Dusko,Rare,769,0.3,11,No,No,No,No,No,No,Yes
74,Destiny Rare,Muffleur,Rare,1237,0.19,11,No,No,No,No,No,No,Yes
75,Destiny Rare,Pyropeck,Rare,1345,0.25,11,No,No,No,No,No,No,Yes
76,Destiny Rare,Lumie,Rare,1105,0.37,11,No,No,No,No,No,No,Yes
77,Destiny Rare,Beakai,Rare,1156,6.44,11,No,Yes,No,No,No,No,No
78,Destiny Rare,Minotos,Rare,388,5.27,12,No,Yes,No,No,No,No,No
79,Destiny Rare,Clamigo,Rare,256,5.51,12,No,Yes,No,No,No,No,No
80,Destiny Rare,Pixy,Rare,471,3.33,12,No,No,Yes,No,No,No,No
81,Destiny Rare,Frizard,Rare,1297,0.34,12,No,No,No,No,No,No,Yes
82,Destiny Rare,Pyropeck,Rare,1346,0.7,12,No,No,No,Yes,No,No,No
83,Destiny Rare,Nimboculo,Rare,985,0.43,12,No,No,No,No,No,No,Yes
84,Destiny Rare,Pixy,Rare,469,0.24,12,No,No,No,No,No,No,Yes
85,Destiny Rare,Bonfiox,Rare,61,0.22,13,No,No,No,No,No,No,Yes
86,Destiny Rare,Trickstar,Rare,205,0.49,13,No,No,No,No,No,No,Yes
87,Destiny Rare,Beakai,Rare,1153,0.15,13,No,No,No,No,No,No,Yes
88,Destiny Rare,Twofrost,Rare,566,0.95,13,No,No,No,Yes,No,No,No
89,Destiny Rare,Luphire,Rare,674,1.37,13,No,No,No,Yes,No,No,No
90,Destiny Rare,Scarlios,Rare,913,0.32,13,No,No,No,No,No,No,Yes
91,Destiny Rare,Decimite,Rare,110,0.94,13,No,No,No,Yes,No,No,No
92,Destiny Rare,Crosilisk,Rare,949,0.31,14,No,No,No,No,No,No,Yes
93,Destiny Rare,Beakai,Rare,1153,0.15,14,No,No,No,No,No,No,Yes
94,Destiny Rare,Muffleur,Rare,1237,0.19,14,No,No,No,No,No,No,Yes
95,Destiny Rare,Amneshark,Rare,1273,0.15,14,No,No,No,No,No,No,Yes
96,Destiny Rare,Frizard,Rare,1297,0.34,14,No,No,No,No,No,No,Yes
97,Destiny Rare,Nimboculo,Rare,985,0.43,14,No,No,No,No,No,No,Yes
98,Destiny Rare,Crosilisk,Rare,949,0.31,14,No,No,No,No,No,No,Yes
99,Destiny Rare,Muffleur,Rare,1237,0.21,15,No,No,No,No,No,No,Yes
100,Destiny Rare,Clawdos,Rare,865,0.19,15,No,No,No,No,No,No,Yes
101,Destiny Rare,Raxx,Rare,817,0.23,15,No,No,No,No,No,No,Yes
102,Destiny Rare,Beakai,Rare,1155,2.15,15,No,No,Yes,No,No,No,No
103,Destiny Rare,Crablox,Rare,1072,4.5,15,No,Yes,No,No,No,No,No
104,Destiny Rare,Scarlios,Rare,913,0.33,15,No,No,No,No,No,No,Yes
105,Destiny Rare,Wispo,Rare,433,0.15,15,No,No,No,No,No,No,Yes
106,Destiny Rare,Clamigo,Rare,253,0.4,16,No,No,No,No,No,No,Yes
107,Destiny Rare,Pupazz,Rare,301,0.12,16,No,No,No,No,No,No,Yes
108,Destiny Rare,Nimboculo,Rare,985,0.48,16,No,No,No,No,No,No,Yes
109,Destiny Rare,Forush,Rare,157,0.33,16,No,No,No,No,No,No,Yes
110,Destiny Rare,Amneshark,Rare,1276,6.7,16,No,Yes,No,No,No,No,No
111,Destiny Rare,Crablox,Rare,1069,0.46,16,No,No,No,No,No,No,Yes
112,Destiny Rare,Pixy,Rare,471,2.78,16,No,No,Yes,No,No,No,No
113,Destiny Rare,Esmerock,Rare,1021,0.37,17,No,No,No,No,No,No,Yes
114,Destiny Rare,Sharfin,Rare,721,0.18,17,No,No,No,No,No,No,Yes
115,Destiny Rare,Forush,Rare,157,0.33,17,No,No,No,No,No,No,Yes
116,Destiny Rare,Posteed,Rare,1369,0.39,17,No,No,No,No,No,No,Yes
117,Destiny Rare,Clawdos,Rare,865,0.19,17,No,No,No,No,No,No,Yes
118,Destiny Rare,Wispo,Rare,433,0.15,17,No,No,No,No,No,No,Yes
119,Destiny Rare,Nimboculo,Rare,985,0.48,17,No,No,No,No,No,No,Yes
120,Destiny Rare,Minotos,Rare,385,0.38,18,No,No,No,No,No,No,Yes
121,Destiny Rare,Lumie,Rare,1105,0.38,18,No,No,No,No,No,No,Yes
122,Destiny Rare,Decimite,Rare,109,0.19,18,No,No,No,No,No,No,Yes
123,Destiny Rare,Pyropeck,Rare,1348,6.83,18,No,Yes,No,No,No,No,No
124,Destiny Rare,Luphire,Rare,673,0.24,18,No,No,No,No,No,No,Yes
125,Destiny Rare,Angez,Rare,529,0.28,18,No,No,No,No,No,No,Yes
126,Destiny Rare,Budwing,Rare,1129,0.33,18,No,No,No,No,No,No,Yes
127,Destiny Rare,Forush,Rare,157,0.33,19,No,No,No,No,No,No,Yes
128,Destiny Rare,Posteed,Rare,1370,1.68,19,No,No,No,Yes,No,No,No
129,Destiny Rare,Crablox,Rare,1069,0.46,19,No,No,No,No,No,No,Yes
130,Destiny Rare,Mummog,Rare,445,0.36,19,No,No,No,No,No,No,Yes
131,Destiny Rare,Minotos,Rare,386,1.71,19,No,No,No,Yes,No,No,No
132,Destiny Rare,Sludgetox,Rare,1417,0.33,19,No,No,No,No,No,No,Yes
133,Destiny Rare,Budwing,Rare,1129,0.33,19,No,No,No,No,No,No,Yes
134,Destiny Rare,Frizard,Rare,1297,0.35,20,No,No,No,No,No,No,Yes
135,Destiny Rare,Lumie,Rare,1107,3.77,20,No,No,Yes,No,No,No,No
136,Destiny Rare,Trickstar,Rare,205,0.47,20,No,No,No,No,No,No,Yes
137,Destiny Rare,Sharfin,Rare,721,0.18,20,No,No,No,No,No,No,Yes
138,Destiny Rare,Budwing,Rare,1133,20.82,20,No,No,No,No,Yes,No,No
139,Destiny Rare,Raxx,Rare,817,0.23,20,No,No,No,No,No,No,Yes
140,Destiny Rare,Sludgetox,Rare,1417,0.33,20,No,No,No,No,No,No,Yes
141,Destiny Rare,Posteed,Rare,1369,0.39,21,No,No,No,No,No,No,Yes
142,Destiny Rare,Sludgetox,Rare,1417,0.33,21,No,No,No,No,No,No,Yes
143,Destiny Rare,Angez,Rare,529,0.28,21,No,No,No,No,No,No,Yes
144,Destiny Rare,Clawdos,Rare,865,0.19,21,No,No,No,No,No,No,Yes
145,Destiny Rare,Scarlios,Rare,913,0.33,21,No,No,No,No,No,No,Yes
146,Destiny Rare,Lumie,Rare,1112,12.07,21,Yes,No,No,Yes,No,No,No
147,Destiny Rare,Minotos,Rare,386,1.71,21,No,No,No,Yes,No,No,No
148,Destiny Rare,Dusko,Rare,769,0.3,22,No,No,No,No,No,No,Yes
149,Destiny Rare,Raxx,Rare,817,0.23,22,No,No,No,No,No,No,Yes
150,Destiny Rare,Posteed,Rare,1370,1.68,22,No,No,No,Yes,No,No,No
151,Destiny Rare,Scarlios,Rare,913,0.33,22,No,No,No,No,No,No,Yes
152,Destiny Rare,Muffleur,Rare,1238,0.55,22,No,No,No,Yes,No,No,No
153,Destiny Rare,Pyropeck,Rare,1347,1.82,22,No,No,Yes,No,No,No,No
154,Destiny Rare,Trickstar,Rare,205,0.47,22,No,No,No,No,No,No,Yes
155,Destiny Rare,Forush,Rare,157,0.33,23,No,No,No,No,No,No,Yes
156,Destiny Rare,Amneshark,Rare,1274,1.71,23,No,No,No,Yes,No,No,No
157,Destiny Rare,Nimboculo,Rare,986,1.5,23,No,No,No,Yes,No,No,No
158,Destiny Rare,Decimite,Rare,109,0.19,23,No,No,No,No,No,No,Yes
159,Destiny Rare,Trickstar,Rare,205,0.47,23,No,No,No,No,No,No,Yes
160,Destiny Rare,Pixy,Rare,469,0.24,23,No,No,No,No,No,No,Yes
161,Destiny Rare,Jeliclean,Rare,423,2.02,23,No,No,Yes,No,No,No,No
162,Destiny Rare,Pixy,Rare,469,0.24,24,No,No,No,No,No,No,Yes
163,Destiny Rare,Nimboculo,Rare,988,5.57,24,No,Yes,No,No,No,No,No
164,Destiny Rare,Twofrost,Rare,565,0.42,24,No,No,No,No,No,No,Yes
165,Destiny Rare,Dusko,Rare,769,0.3,24,No,No,No,No,No,No,Yes
166,Destiny Rare,Posteed,Rare,1369,0.39,24,No,No,No,No,No,No,Yes
167,Destiny Rare,Pyropeck,Rare,1345,0.22,24,No,No,No,No,No,No,Yes
168,Destiny Rare,Wispo,Rare,433,0.15,24,No,No,No,No,No,No,Yes
169,Destiny Rare,Posteed,Rare,1369,0.39,25,No,No,No,No,No,No,Yes
170,Destiny Rare,Amneshark,Rare,1276,6.7,25,No,Yes,No,No,No,No,No
171,Destiny Rare,Lumie,Rare,1106,1.64,25,No,No,No,Yes,No,No,No
172,Destiny Rare,Wispo,Rare,433,0.15,25,No,No,No,No,No,No,Yes
173,Destiny Rare,Forush,Rare,159,1.98,25,No,No,Yes,No,No,No,No
174,Destiny Rare,Crosilisk,Rare,949,0.32,25,No,No,No,No,No,No,Yes
175,Destiny Rare,Raxx,Rare,817,0.23,25,No,No,No,No,No,No,Yes
176,Destiny Rare,Lunight,Rare,349,0.3,26,No,No,No,No,No,No,Yes
177,Destiny Rare,Amneshark,Rare,1274,1.71,26,No,No,No,Yes,No,No,No
178,Destiny Rare,Pupazz,Rare,301,0.12,26,No,No,No,No,No,No,Yes
179,Destiny Rare,Crosilisk,Rare,955,8.41,26,Yes,No,No,No,No,No,Yes
180,Destiny Rare,Mummog,Rare,448,6.77,26,No,Yes,No,No,No,No,No
181,Destiny Rare,Clawdos,Rare,865,0.19,26,No,No,No,No,No,No,Yes
182,Destiny Rare,Posteed,Rare,1369,0.39,26,No,No,No,No,No,No,Yes
183,Destiny Rare,Clawdos,Rare,866,1.64,27,No,No,No,Yes,No,No,No
184,Destiny Rare,Posteed,Rare,1369,0.39,27,No,No,No,No,No,No,Yes
185,Destiny Rare,Budwing,Rare,1129,0.33,27,No,No,No,No,No,No,Yes
186,Destiny Rare,Burpig,Rare,13,0.32,27,No,No,No,No,No,No,Yes
187,Destiny Rare,Mummog,Rare,446,1.07,27,No,No,No,Yes,No,No,No
188,Destiny Rare,Decimite,Rare,109,0.19,27,No,No,No,No,No,No,Yes
189,Destiny Rare,Clamigo,Rare,253,0.4,27,No,No,No,No,No,No,Yes
190,Destiny Rare,Twofrost,Rare,565,0.42,28,No,No,No,No,No,No,Yes
191,Destiny Rare,Jeliclean,Rare,423,2.02,28,No,No,Yes,No,No,No,No
192,Destiny Rare,Pupazz,Rare,302,1.14,28,No,No,No,Yes,No,No,No
193,Destiny Rare,Clawdos,Rare,865,0.19,28,No,No,No,No,No,No,Yes
194,Destiny Rare,Trickstar,Rare,207,3.45,28,No,No,Yes,No,No,No,No
195,Destiny Rare,Lunight,Rare,349,0.3,28,No,No,No,No,No,No,Yes
196,Destiny Rare,Amneshark,Rare,1273,0.16,28,No,No,No,No,No,No,Yes
197,Destiny Rare,Frizard,Rare,1297,0.35,29,No,No,No,No,No,No,Yes
198,Destiny Rare,Burpig,Rare,17,22.52,29,No,No,No,No,Yes,No,No
199,Destiny Rare,Beakai,Rare,1153,0.16,29,No,No,No,No,No,No,Yes
200,Destiny Rare,Pupazz,Rare,301,0.12,29,No,No,No,No,No,No,Yes
201,Destiny Rare,Sharfin,Rare,721,0.18,29,No,No,No,No,No,No,Yes
202,Destiny Rare,Amneshark,Rare,1273,0.16,29,No,No,No,No,No,No,Yes
203,Destiny Rare,Wispo,Rare,433,0.15,29,No,No,No,No,No,No,Yes
204,Destiny Rare,Nimboculo,Rare,986,1.5,30,No,No,No,Yes,No,No,No
205,Destiny Rare,Scarlios,Rare,913,0.33,30,No,No,No,No,No,No,Yes
206,Destiny Rare,Beakai,Rare,1154,1.19,30,No,No,No,Yes,No,No,No
207,Destiny Rare,Raxx,Rare,817,0.23,30,No,No,No,No,No,No,Yes
