,Card Pack Type,Card Name,Card Rarity,Card No.,Card Value ($),Pack Number,Foil,Gold Edition,Silver Edition,First Edition,EX Cards,Full Art,Normal
1,Tetramon Basic,Kidsune,Common,49,0.25,1,No,No,No,No,No,No,Yes
2,Tetramon Basic,Nanomite,Common,97,0.11,1,No,No,No,No,No,No,Yes
3,Tetramon Basic,Nocti,Common,337,0.07,1,No,No,No,No,No,No,Yes
4,Tetramon Basic,Flami,Common,517,0.24,1,No,No,No,No,No,No,Yes
5,Tetramon Basic,Seedant,Common,1117,0.06,1,No,No,No,No,No,No,Yes
6,Tetramon Basic,Anguifish,Common,1261,0.25,1,No,No,No,No,No,No,Yes
7,Tetramon Basic,Helio,Common,457,0.2,1,No,No,No,No,No,No,Yes
8,Tetramon Basic,Seedant,Common,1118,1,2,No,No,No,Yes,No,No,No
9,Tetramon Basic,Shellow,Common,241,0.13,2,No,No,No,No,No,No,Yes
10,Tetramon Basic,Gupi,Common,709,0.2,2,No,No,No,No,No,No,Yes
11,Tetramon Basic,Nocti,Common,343,2.26,2,Yes,No,No,No,No,No,Yes
12,Tetramon Basic,Crobib,Common,938,0.28,2,No,No,No,Yes,No,No,No
13,Tetramon Basic,Werboo,Common,506,0.59,2,No,No,No,Yes,No,No,No
14,Tetramon Basic,Helio,Common,463,5.67,2,Yes,No,No,No,No,No,Yes
15,Tetramon Basic,Sunflork,Common,901,0.1,3,No,No,No,No,No,No,Yes
16,Tetramon Basic,Flami,Common,518,0.34,3,No,No,No,Yes,No,No,No
17,Tetramon Basic,Seedant,Common,1119,2.09,3,No,No,Yes,No,No,No,No
18,Tetramon Basic,Sapoling,Common,145,0.17,3,No,No,No,No,No,No,Yes
19,Tetramon Basic,Nocti,Common,338,0.21,3,No,No,No,Yes,No,No,No
20,Tetramon Basic,Kyrone,Common,554,1.17,3,No,No,No,Yes,No,No,No
21,Tetramon Basic,Kidsune,Common,51,3.02,3,No,No,Yes,No,No,No,No
22,Tetramon Basic,Kidsune,Common,49,0.25,4,No,No,No,No,No,No,Yes
23,Tetramon Basic,Batrang,Common,757,0.05,4,No,No,No,No,No,No,Yes
24,Tetramon Basic,Lupup,Common,661,0.27,4,No,No,No,No,No,No,Yes
25,Tetramon Basic,Nanomite,Common,97,0.11,4,No,No,No,No,No,No,Yes
26,Tetramon Basic,Mufflin,Common,1228,5.06,4,No,Yes,No,No,No,No,No
27,Tetramon Basic,Nimblis,Common,973,0.16,4,No,No,No,No,No,No,Yes
28,Tetramon Basic,Nocti,Common,337,0.07,4,No,No,No,No,No,No,Yes
29,Tetramon Basic,Minstar,Common,194,0.41,5,No,No,No,Yes,No,No,No
30,Tetramon Basic,Gupi,Common,709,0.2,5,No,No,No,No,No,No,Yes
31,Tetramon Basic,Werboo,Common,505,0.13,5,No,No,No,No,No,No,Yes
32,Tetramon Basic,Sunflork,Common,901,0.1,5,No,No,No,No,No,No,Yes
33,Tetramon Basic,Lupup,Common,661,0.27,5,No,No,No,No,No,No,Yes
34,Tetramon Basic,Seedant,Common,1117,0.06,5,No,No,No,No,No,No,Yes
35,Tetramon Basic,Anguifish,Common,1262,0.37,5,No,No,No,Yes,No,No,No
36,Tetramon Basic,Lupup,Common,661,0.27,6,No,No,No,No,No,No,Yes
37,Tetramon Basic,Gupi,Common,709,0.2,6,No,No,No,No,No,No,Yes
38,Tetramon Basic,Mufflin,Common,1225,0.16,6,No,No,No,No,No,No,Yes
39,Tetramon Basic,Kidsune,Common,50,0.55,6,No,No,No,Yes,No,No,No
40,Tetramon Basic,Nimblis,Common,973,0.15,6,No,No,No,No,No,No,Yes
41,Tetramon Basic,Clawop,Common,855,2.43,6,No,No,Yes,No,No,No,No
42,Tetramon Basic,Anguifish,Common,1262,0.37,6,No,No,No,Yes,No,No,No
43,Tetramon Basic,Sapoling,Common,148,3.1,7,No,Yes,No,No,No,No,No
44,Tetramon Basic,Sunflork,Common,901,0.1,7,No,No,No,No,No,No,Yes
45,Tetramon Basic,Gupi,Common,709,0.2,7,No,No,No,No,No,No,Yes
46,Tetramon Basic,Seedant,Common,1117,0.06,7,No,No,No,No,No,No,Yes
47,Tetramon Basic,Minstar,Common,193,0.24,7,No,No,No,No,No,No,Yes
48,Tetramon Basic,Werboo,Common,507,1.26,7,No,No,Yes,No,No,No,No
49,Tetramon Basic,Kidsune,Common,50,0.55,7,No,No,No,Yes,No,No,No
50,Tetramon Basic,Crobib,Common,937,0.05,8,No,No,No,No,No,No,Yes
51,Tetramon Basic,Kidsune,Common,49,0.25,8,No,No,No,No,No,No,Yes
52,Tetramon Basic,Werboo,Common,505,0.13,8,No,No,No,No,No,No,Yes
53,Tetramon Basic,Clawop,Common,853,0.07,8,No,No,No,No,No,No,Yes
54,Tetramon Basic,Nimblis,Common,974,0.63,8,No,No,No,Yes,No,No,No
55,Tetramon Basic,Nocti,Common,339,2.4,8,No,No,Yes,No,No,No,No
56,Tetramon Basic,Kyrone,Common,553,0.27,8,No,No,No,No,No,No,Yes
57,Tetramon Basic,Kidsune,Common,52,5.64,9,No,Yes,No,No,No,No,No
58,Tetramon Basic,Werboo,Common,505,0.13,9,No,No,No,No,No,No,Yes
59,Tetramon Basic,Nocti,Common,337,0.07,9,No,No,No,No,No,No,Yes
60,Tetramon Basic,Pigni,Common,1,0.23,9,No,No,No,No,No,No,Yes
61,Tetramon Basic,Sapoling,Common,146,0.82,9,No,No,No,Yes,No,No,No
62,Tetramon Basic,Mufflin,Common,1225,0.16,9,No,No,No,No,No,No,Yes
63,Tetramon Basic,Sunflork,Common,902,0.89,9,No,No,No,Yes,No,No,No
64,Tetramon Basic,Nocti,Common,338,0.21,10,No,No,No,Yes,No,No,No
65,Tetramon Basic,Clawop,Common,854,0.56,10,No,No,No,Yes,No,No,No
66,Tetramon Basic,Shellow,Common,241,0.13,10,No,No,No,No,No,No,Yes
67,Tetramon Basic,Minstar,Common,196,6.13,10,No,Yes,No,No,No,No,No
68,Tetramon Basic,Lupup,Common,667,6.76,10,Yes,No,No,No,No,No,Yes
69,Tetramon Basic,Sunflork,Common,901,0.1,10,No,No,No,No,No,No,Yes
70,Tetramon Basic,Kyrone,Common,553,0.27,10,No,No,No,No,No,No,Yes
71,Tetramon Basic,Poseia,Common,1357,0.05,11,No,No,No,No,No,No,Yes
72,Tetramon Basic,Nanomite,Common,98,0.23,11,No,No,No,Yes,No,No,No
73,Tetramon Basic,Pigni,Common,1,0.23,11,No,No,No,No,No,No,Yes
74,Tetramon Basic,Clawop,Common,853,0.07,11,No,No,No,No,No,No,Yes
75,Tetramon Basic,Wurmgle,Common,289,0.03,11,No,No,No,No,No,No,Yes
76,Tetramon Basic,Batrang,Common,759,2.08,11,No,No,Yes,No,No,No,No
77,Tetramon Basic,Kidsune,Common,49,0.25,11,No,No,No,No,No,No,Yes
78,Tetramon Basic,Sapoling,Common,145,0.17,12,No,No,No,No,No,No,Yes
79,Tetramon Basic,Tetron,Common,805,0.03,12,No,No,No,No,No,No,Yes
80,Tetramon Basic,Pigni,Common,1,0.23,12,No,No,No,No,No,No,Yes
81,Tetramon Basic,Kyrone,Common,553,0.27,12,No,No,No,No,No,No,Yes
82,Tetramon Basic,Nanomite,Common,97,0.12,12,No,No,No,No,No,No,Yes
83,Tetramon Basic,Sludglop,Common,1405,0.2,12,No,No,No,No,No,No,Yes
84,Tetramon Basic,Kidsune,Common,49,0.25,12,No,No,No,No,No,No,Yes
85,Tetramon Basic,Tetron,Common,806,0.66,13,No,No,No,Yes,No,No,No
86,Tetramon Basic,Helio,Common,457,0.2,13,No,No,No,No,No,No,Yes
87,Tetramon Basic,Kidsune,Common,50,0.56,13,No,No,No,Yes,No,No,No
88,Tetramon Basic,Lupup,Common,661,0.27,13,No,No,No,No,No,No,Yes
89,Tetramon Basic,Sludglop,Common,1405,0.2,13,No,No,No,No,No,No,Yes
90,Tetramon Basic,Flami,Common,517,0.24,13,No,No,No,No,No,No,Yes
91,Tetramon Basic,Nimblis,Common,973,0.15,13,No,No,No,No,No,No,Yes
92,Tetramon Basic,Mufflin,Common,1227,2.04,14,No,No,Yes,No,No,No,No
93,Tetramon Basic,Poseia,Common,1357,0.05,14,No,No,No,No,No,No,Yes
94,Tetramon Basic,Flami,Common,517,0.24,14,No,No,No,No,No,No,Yes
95,Tetramon Basic,Batrang,Common,758,0.34,14,No,No,No,Yes,No,No,No
96,Tetramon Basic,Sapoling,Common,145,0.17,14,No,No,No,No,No,No,Yes
97,Tetramon Basic,Nocti,Common,337,0.07,14,No,No,No,No,No,No,Yes
98,Tetramon Basic,Flamchik,Common,1333,0.18,14,No,No,No,No,No,No,Yes
99,Tetramon Basic,Helio,Common,457,0.22,15,No,No,No,No,No,No,Yes
100,Tetramon Basic,Clawop,Common,853,0.07,15,No,No,No,No,No,No,Yes
101,Tetramon Basic,Poseia,Common,1357,0.06,15,No,No,No,No,No,No,Yes
102,Tetramon Basic,Kyrone,Common,554,1.03,15,No,No,No,Yes,No,No,No
103,Tetramon Basic,Nimblis,Common,976,4.57,15,No,Yes,No,No,No,No,No
104,Tetramon Basic,Minstar,Common,194,0.3,15,No,No,No,Yes,No,No,No
105,Tetramon Basic,Tetron,Common,805,0.03,15,No,No,No,No,No,No,Yes
106,Tetramon Basic,Pigni,Common,1,0.24,16,No,No,No,No,No,No,Yes
107,Tetramon Basic,Sunflork,Common,903,2.2,16,No,No,Yes,No,No,No,No
108,Tetramon Basic,Sapoling,Common,148,2.8,16,No,Yes,No,No,No,No,No
109,Tetramon Basic,Helio,Common,460,4.12,16,No,Yes,No,No,No,No,No
110,Tetramon Basic,Flamchik,Common,1333,0.21,16,No,No,No,No,No,No,Yes
111,Tetramon Basic,Mufflin,Common,1225,0.17,16,No,No,No,No,No,No,Yes
112,Tetramon Basic,Gupi,Common,709,0.2,16,No,No,No,No,No,No,Yes
113,Tetramon Basic,Anguifish,Common,1262,0.31,17,No,No,No,Yes,No,No,No
114,Tetramon Basic,Sunflork,Common,902,0.8,17,No,No,No,Yes,No,No,No
115,Tetramon Basic,Nanomite,Common,97,0.12,17,No,No,No,No,No,No,Yes
116,Tetramon Basic,Nocti,Common,337,0.07,17,No,No,No,No,No,No,Yes
117,Tetramon Basic,Kidsune,Common,49,0.24,17,No,No,No,No,No,No,Yes
118,Tetramon Basic,Pigni,Common,1,0.24,17,No,No,No,No,No,No,Yes
119,Tetramon Basic,Helio,Common,463,6.44,17,Yes,No,No,No,No,No,Yes
120,Tetramon Basic,Nanmoite,Common,97,0.12,18,No,No,No,No,No,No,Yes
121,Tetramon Basic,Flami,Common,523,6.57,18,Yes,No,No,No,No,No,Yes
122,Tetramon Basic,Minstar,Common,194,0.3,18,No,No,No,Yes,No,No,No
123,Tetramon Basic,Shellow,Common,241,0.13,18,No,No,No,No,No,No,Yes
124,Tetramon Basic,Lupup,Common,667,7.04,18,Yes,No,No,No,No,No,Yes
125,Tetramon Basic,Seedant,Common,1117,0.06,18,No,No,No,No,No,No,Yes
126,Tetramon Basic,Esmeri,Common,1009,0.22,18,No,No,No,No,No,No,Yes
127,Tetramon Basic,Seedant,Common,1117,0.06,19,No,No,No,No,No,No,Yes
128,Tetramon Basic,Kyrone,Common,553,0.28,19,No,No,No,No,No,No,Yes
129,Tetramon Basic,Nanomite,Common,99,1.73,19,No,No,Yes,No,No,No,No
130,Tetramon Basic,Batrang,Common,758,0.38,19,No,No,No,Yes,No,No,No
131,Tetramon Basic,N/A,Common,N/A,68.33,19,No,No,No,No,No,Yes,No
132,Tetramon Basic,Flamchik,Common,1333,0.21,19,No,No,No,No,No,No,Yes
133,Tetramon Basic,Poseia,Common,1358,0.8,19,No,No,No,Yes,No,No,No
