,Card Pack Type,Card Name,Card Rarity,Card No.,Card Value ($),Pack Number,Foil,Gold Edition,Silver Edition,First Edition,EX Cards,Full Art ,Normal
1,Tetramon Epic,Crorathian,Epic,961,0.65,1,No,No,No,No,No,No,Yes
2,Tetramon Epic,Clawvenger,Epic,1081,0.58,1,No,No,No,No,No,No,Yes
3,Tetramon Epic,Flory,Epic,481,0.44,1,No,No,No,No,No,No,Yes
4,Tetramon Epic,Scarkgorus,Epic,925,0.7,1,No,No,No,No,No,No,Yes
5,Tetramon Epic,Aquariff,Epic,265,0.53,1,No,No,No,No,No,No,Yes
6,Tetramon Epic,Threeze,Epic,577,0.41,1,No,No,No,No,No,No,Yes
7,Tetramon Epic,Tortugor,Epic,649,0.47,1,No,No,No,No,No,No,Yes
8,Tetramon Epic,Mothini,Epic,315,2.44,2,No,No,Yes,No,No,No,No
9,Tetramon Epic,Meganite,Epic,121,0.26,2,No,No,No,No,No,No,Yes
10,Tetramon Epic,Esmerdios,Epic,1034,0.91,2,No,No,No,Yes,No,No,No
11,Tetramon Epic,Clawaken,Epic,877,0.38,2,No,No,No,No,No,No,Yes
12,Tetramon Epic,Litspire,Epic,1045,0.57,2,No,No,No,No,No,No,Yes
13,Tetramon Epic,Kataryu,Epic,1201,0.26,2,No,No,No,No,No,No,Yes
14,Tetramon Epic,Princestar,Epic,217,0.53,2,No,No,No,No,No,No,Yes
15,Tetramon Epic,Moskit,Epic,541,0.38,3,No,No,No,No,No,No,Yes
16,Tetramon Epic,Gannon,Epic,829,0.43,3,No,No,No,No,No,No,Yes
17,Tetramon Epic,Nimbustrike,Epic,997,0.45,3,No,No,No,No,No,No,Yes
18,Tetramon Epic,Esmerdios,Epic,1033,0.39,3,No,No,No,No,No,No,Yes
19,Tetramon Epic,Meganite,Epic,121,0.26,3,No,No,No,No,No,No,Yes
20,Tetramon Epic,Lucinder,Epic,686,1.64,3,No,No,No,Yes,No,No,No
21,Tetramon Epic,Talontsu,Epic,1165,0.4,3,No,No,No,No,No,No,Yes
22,Tetramon Epic,Kataryu,Epic,1202,1.32,4,No,No,No,Yes,No,No,No
23,Tetramon Epic,Talonika,Epic,1177,0.38,4,No,No,No,No,No,No,Yes
24,Tetramon Epic,Esmerdios,Epic,1034,0.91,4,No,No,No,Yes,No,No,No
25,Tetramon Epic,Mothini,Epic,315,2.44,4,No,No,Yes,No,No,No,No
26,Tetramon Epic,Amnesilla,Epic,1285,0.47,4,No,No,No,No,No,No,Yes
27,Tetramon Epic,Lucinder,Epic,685,0.62,4,No,No,No,No,No,No,Yes
28,Tetramon Epic,Moskit,Epic,547,4.65,4,Yes,No,No,No,No,No,Yes
29,Tetramon Epic,Princestar,Epic,220,7.03,5,No,Yes,No,No,No,No,No
30,Tetramon Epic,Lucinder,Epic,691,3.41,5,Yes,No,No,No,No,No,Yes
31,Tetramon Epic,Talontsu,Epic,1166,1.37,5,No,No,No,Yes,No,No,No
32,Tetramon Epic,Litspire,Epic,1045,0.57,5,No,No,No,No,No,No,Yes
33,Tetramon Epic,Inferhog,Epic,25,0.65,5,No,No,No,No,No,No,Yes
34,Tetramon Epic,Vampicant,Epic,361,0.31,5,No,No,No,No,No,No,Yes
35,Tetramon Epic,Amnesilla,Epic,1285,0.47,5,No,No,No,No,No,No,Yes
36,Tetramon Epic,Mufflimax,Epic,1250,0.95,6,No,No,No,Yes,No,No,No
37,Tetramon Epic,Lucinder,Epic,685,0.62,6,No,No,No,No,No,No,Yes
38,Tetramon Epic,Clawaken,Epic,877,0.38,6,No,No,No,No,No,No,Yes
39,Tetramon Epic,Inferhog,Epic,26,1.86,6,No,No,No,Yes,No,No,No
40,Tetramon Epic,Wolgin,Epic,781,0.42,6,No,No,No,No,No,No,Yes
41,Tetramon Epic,Moskit,Epic,541,0.38,6,No,No,No,No,No,No,Yes
42,Tetramon Epic,Flory,Epic,481,0.44,6,No,No,No,No,No,No,Yes
43,Tetramon Epic,Amnesilla,Epic,1285,0.47,7,No,No,No,No,No,No,Yes
44,Tetramon Epic,Flory,Epic,481,0.44,7,No,No,No,No,No,No,Yes
45,Tetramon Epic,Aquariff,Epic,265,0.53,7,No,No,No,No,No,No,Yes
46,Tetramon Epic,Talonika,Epic,1178,1.57,7,No,No,No,Yes,No,No,No
47,Tetramon Epic,Clawaken,Epic,877,0.38,7,No,No,No,No,No,No,Yes
48,Tetramon Epic,Gannon,Epic,829,0.43,7,No,No,No,No,No,No,Yes
49,Tetramon Epic,Scarkgorus,Epic,926,1.78,7,No,No,No,Yes,No,No,No
50,Tetramon Epic,Wolgin,Epic,781,0.42,8,No,No,No,No,No,No,Yes
51,Tetramon Epic,Nimbustrike,Epic,998,1.46,8,No,No,No,Yes,No,No,No
52,Tetramon Epic,Talontsu,Epic,1165,0.4,8,No,No,No,No,No,No,Yes
53,Tetramon Epic,Amnesilla,Epic,1292,12.87,8,Yes,No,No,Yes,No,No,No
54,Tetramon Epic,Clawvenger,Epic,1087,7,8,Yes,No,No,No,No,No,Yes
55,Tetramon Epic,Lucinder,Epic,685,0.62,8,No,No,No,No,No,No,Yes
56,Tetramon Epic,Flory,Epic,481,0.44,8,No,No,No,No,No,No,Yes
