,Card Pack Type,Card Name,Card Rarity,Card No.,Card Value ($),Pack Number,Foil,Gold Edition,Silver Edition,First Edition,EX Cards,Full Art,Normal
1,Tetramon Legendary,Voltrex,Legendary,1058,1.85,1,No,No,No,Yes,No,No,No
2,Tetramon Legendary,Kingstar,Legendary,230,2.57,1,No,No,No,Yes,No,No,No
3,Tetramon Legendary,Talonryu,Legendary,1189,0.72,1,No,No,No,No,No,No,Yes
4,Tetramon Legendary,Flambrolly,Legendary,1094,1.83,1,No,No,No,Yes,No,No,No
5,Tetramon Legendary,Jacktern,Legendary,794,1.62,1,No,No,No,Yes,No,No,No
6,Tetramon Legendary,Drakon,Legendary,602,2.01,1,No,No,No,Yes,No,No,No
7,Tetramon Legendary,Lucadence,Legendary,698,1.84,1,No,No,No,Yes,No,No,No
8,Tetramon Legendary,Hydroid,Legendary,589,0.72,2,No,No,No,No,No,No,Yes
9,Tetramon Legendary,Toximuck,Legendary,1442,2,2,No,No,No,Yes,No,No,No
10,Tetramon Legendary,Bogon,Legendary,613,0.75,2,No,No,No,No,No,No,Yes
11,Tetramon Legendary,Kyuenbi,Legendary,86,2.92,2,No,No,No,Yes,No,No,No
12,Tetramon Legendary,Katengu,Legendary,1215,3.13,2,No,No,Yes,No,No,No,No
13,Tetramon Legendary,Dracunix,Legendary,373,0.51,2,No,No,No,No,No,No,Yes
14,Tetramon Legendary,Raizon,Legendary,637,0.61,2,No,No,No,No,No,No,Yes
15,Tetramon Legendary,Terradrakon,Legendary,1321,0.63,3,No,No,No,No,No,No,Yes
16,Tetramon Legendary,Drakon,Legendary,601,0.87,3,No,No,No,No,No,No,Yes
17,Tetramon Legendary,Voltrex,Legendary,1058,1.85,3,No,No,No,Yes,No,No,No
18,Tetramon Legendary,Jacktern,Legendary,793,0.57,3,No,No,No,No,No,No,Yes
19,Tetramon Legendary,Lucadence,Legendary,699,4.83,3,No,No,Yes,No,No,No,No
20,Tetramon Legendary,Katengu,Legendary,1213,0.59,3,No,No,No,No,No,No,Yes
21,Tetramon Legendary,Hydroid,Legendary,589,0.72,3,No,No,No,No,No,No,Yes
22,Tetramon Legendary,GigatronX,Legendary,841,0.5,4,No,No,No,No,No,No,Yes
