,Card Pack Type,Card Name,Card Rarity,Card No.,Card Value ($),Pack Number,Foil,Gold Edition,Silver Edition,First Edition,EX Cards,Full Art,Normal
1,Tetramon Rare,Budwing,Rare,1136,7.9,1,Yes,No,No,Yes,No,No,No
2,Tetramon Rare,Twofrost,Rare,566,1.37,1,No,No,No,Yes,No,No,No
3,Tetramon Rare,Trickstar,Rare,205,0.22,1,No,No,No,No,No,No,Yes
4,Tetramon Rare,Esmerock,Rare,1023,3.49,1,No,No,Yes,No,No,No,No
5,Tetramon Rare,Clawdos,Rare,865,0.19,1,No,No,No,No,No,No,Yes
6,Tetramon Rare,Muffleur,Rare,1237,0.16,1,No,No,No,No,No,No,Yes
7,Tetramon Rare,Crablox,Rare,1070,1.37,1,No,No,No,Yes,No,No,No
8,Tetramon Rare,Frizard,Rare,1297,0.15,2,No,No,No,No,No,No,Yes
9,Tetramon Rare,Lunight,Rare,349,0.24,2,No,No,No,No,No,No,Yes
10,Tetramon Rare,Clamigo,Rare,255,1.61,2,No,No,Yes,No,No,No,No
11,Tetramon Rare,Lumie,Rare,1105,0.37,2,No,No,No,No,No,No,Yes
12,Tetramon Rare,Wispo,Rare,439,5.26,2,Yes,No,No,No,No,No,Yes
13,Tetramon Rare,Decimite,Rare,109,0.11,2,No,No,No,No,No,No,Yes
14,Tetramon Rare,Beakai,Rare,1153,0.3,2,No,No,No,No,No,No,Yes
15,Tetramon Rare,Frizard,Rare,1297,0.15,3,No,No,No,No,No,No,Yes
16,Tetramon Rare,Scarlios,Rare,913,0.35,3,No,No,No,No,No,No,Yes
17,Tetramon Rare,Burpig,Rare,13,0.31,3,No,No,No,No,No,No,Yes
18,Tetramon Rare,Muffleur,Rare,1237,0.16,3,No,No,No,No,No,No,Yes
19,Tetramon Rare,Angez,Rare,530,1.19,3,No,No,No,Yes,No,No,No
20,Tetramon Rare,Amneshark,Rare,1273,0.19,3,No,No,No,No,No,No,Yes
21,Tetramon Rare,Decimite,Rare,109,0.11,3,No,No,No,No,No,No,Yes
22,Tetramon Rare,Pupazz,Rare,301,0.35,4,No,No,No,No,No,No,Yes
23,Tetramon Rare,Raxx,Rare,818,1.08,4,No,No,No,Yes,No,No,No
24,Tetramon Rare,Budwing,Rare,1129,0.24,4,No,No,No,No,No,No,Yes
25,Tetramon Rare,Dusko,Rare,769,0.14,4,No,No,No,No,No,No,Yes
26,Tetramon Rare,Jeliclean,Rare,421,0.43,4,No,No,No,No,No,No,Yes
27,Tetramon Rare,Frizard,Rare,1298,1.47,4,No,No,No,Yes,No,No,No
28,Tetramon Rare,Mummog,Rare,445,0.27,4,No,No,No,No,No,No,Yes
29,Tetramon Rare,Budwing,Rare,1129,0.24,5,No,No,No,No,No,No,Yes
30,Tetramon Rare,Clamigo,Rare,253,0.4,5,No,No,No,No,No,No,Yes
31,Tetramon Rare,Lumie,Rare,1105,0.37,5,No,No,No,No,No,No,Yes
32,Tetramon Rare,Decimite,Rare,109,0.11,5,No,No,No,No,No,No,Yes
33,Tetramon Rare,Lunight,Rare,349,0.24,5,No,No,No,No,No,No,Yes
34,Tetramon Rare,Crablox,Rare,1071,2.39,5,No,No,Yes,No,No,No,No
35,Tetramon Rare,Amneshark,Rare,1273,0.19,5,No,No,No,No,No,No,Yes
36,Tetramon Rare,Decimite,Rare,109,0.11,6,No,No,No,No,No,No,Yes
37,Tetramon Rare,Crosilisk,Rare,949,0.26,6,No,No,No,No,No,No,Yes
38,Tetramon Rare,Clawdos,Rare,865,0.19,6,No,No,No,No,No,No,Yes
39,Tetramon Rare,Nimboculo,Rare,985,0.17,6,No,No,No,No,No,No,Yes
40,Tetramon Rare,Frizard,Rare,1297,0.15,6,No,No,No,No,No,No,Yes
41,Tetramon Rare,Sharfin,Rare,721,0.4,6,No,No,No,No,No,No,Yes
42,Tetramon Rare,Forush,Rare,158,1.3,6,No,No,No,Yes,No,No,No
43,Tetramon Rare,Muffleur,Rare,1237,0.16,7,No,No,No,No,No,No,Yes
44,Tetramon Rare,Crosilisk,Rare,949,0.26,7,No,No,No,No,No,No,Yes
45,Tetramon Rare,Minotos,Rare,388,4.7,7,No,Yes,No,No,No,No,No
46,Tetramon Rare,Lunight,Rare,351,1.21,7,No,No,Yes,No,No,No,No
47,Tetramon Rare,Trickstar,Rare,209,23.04,7,No,No,No,No,Yes,No,No
48,Tetramon Rare,Beakai,Rare,1153,0.3,7,No,No,No,No,No,No,Yes
49,Tetramon Rare,Budwing,Rare,1129,0.24,7,No,No,No,No,No,No,Yes
50,Tetramon Rare,Burpig,Rare,13,0.31,8,No,No,No,No,No,No,Yes
51,Tetramon Rare,Crablox,Rare,1069,0.26,8,No,No,No,No,No,No,Yes
52,Tetramon Rare,Twofrost,Rare,565,0.28,8,No,No,No,No,No,No,Yes
53,Tetramon Rare,Dusko,Rare,769,0.14,8,No,No,No,No,No,No,Yes
54,Tetramon Rare,Raxx,Rare,819,2.12,8,No,No,Yes,No,No,No,No
55,Tetramon Rare,Muffleur,Rare,1237,0.16,8,No,No,No,No,No,No,Yes
56,Tetramon Rare,Crosilisk,Rare,949,0.26,8,No,No,No,No,No,No,Yes
57,Tetramon Rare,Burpig,Rare,13,0.31,9,No,No,No,No,No,No,Yes
58,Tetramon Rare,Jeliclean,Rare,424,8.26,9,No,Yes,No,No,No,No,No
59,Tetramon Rare,Budwing,Rare,1130,1.24,9,No,No,No,Yes,No,No,No
60,Tetramon Rare,Sharfin,Rare,721,0.4,9,No,No,No,No,No,No,Yes
61,Tetramon Rare,Esmerock,Rare,1021,0.28,9,No,No,No,No,No,No,Yes
62,Tetramon Rare,Wispo,Rare,433,0.19,9,No,No,No,No,No,No,Yes
63,Tetramon Rare,Luphire,Rare,674,1.22,9,No,No,No,Yes,No,No,No
64,Tetramon Rare,Clawdos,Rare,865,0.19,10,No,No,No,No,No,No,Yes
65,Tetramon Rare,Luphire,Rare,673,0.31,10,No,No,No,No,No,No,Yes
66,Tetramon Rare,Muffleur,Rare,1237,0.16,10,No,No,No,No,No,No,Yes
67,Tetramon Rare,Bonfiox,Rare,62,0.96,10,No,No,No,Yes,No,No,No
68,Tetramon Rare,Sharfin,Rare,721,0.4,10,No,No,No,No,No,No,Yes
69,Tetramon Rare,Beakai,Rare,1153,0.3,10,No,No,No,No,No,No,Yes
70,Tetramon Rare,Burpig,Rare,13,0.31,10,No,No,No,No,No,No,Yes
71,Tetramon Rare,Twofrost,Rare,567,3.68,11,No,No,Yes,No,No,No,No
72,Tetramon Rare,Pixy,Rare,469,0.32,11,No,No,No,No,No,No,Yes
73,Tetramon Rare,Trickstar,Rare,205,0.22,11,No,No,No,No,No,No,Yes
74,Tetramon Rare,Pyropeck,Rare,1345,0.36,11,No,No,No,No,No,No,Yes
75,Tetramon Rare,Esmerock,Rare,1022,0.98,11,No,No,No,Yes,No,No,No
76,Tetramon Rare,Dusko,Rare,771,2.97,11,No,No,Yes,No,No,No,No
77,Tetramon Rare,Wispo,Rare,433,0.19,11,No,No,No,No,No,No,Yes
78,Tetramon Rare,Crablox,Rare,1069,0.26,12,No,No,No,No,No,No,Yes
79,Tetramon Rare,Decimite,Rare,110,0.66,12,No,No,No,Yes,No,No,No
80,Tetramon Rare,Frizard,Rare,1297,0.15,12,No,No,No,No,No,No,Yes
81,Tetramon Rare,Lumie,Rare,1105,0.37,12,No,No,No,No,No,No,Yes
82,Tetramon Rare,Clawdos,Rare,865,0.19,12,No,No,No,No,No,No,Yes
83,Tetramon Rare,Crosilisk,Rare,955,7.03,12,Yes,No,No,No,No,No,Yes
84,Tetramon Rare,Twofrost,Rare,565,0.28,12,No,No,No,No,No,No,Yes
85,Tetramon Rare,Trickstar,Rare,205,0.22,13,No,No,No,No,No,No,Yes
86,Tetramon Rare,Pupazz,Rare,303,1.19,13,No,No,Yes,No,No,No,No
87,Tetramon Rare,Twofrost,Rare,565,0.28,13,No,No,No,No,No,No,Yes
88,Tetramon Rare,Pixy,Rare,469,0.32,13,No,No,No,No,No,No,Yes
89,Tetramon Rare,Pyropeck,Rare,1345,0.36,13,No,No,No,No,No,No,Yes
90,Tetramon Rare,Raxx,Rare,817,0.21,13,No,No,No,No,No,No,Yes
91,Tetramon Rare,Scarlios,Rare,913,0.35,13,No,No,No,No,No,No,Yes
92,Tetramon Rare,Trickstar,Rare,205,0.22,14,No,No,No,No,No,No,Yes
93,Tetramon Rare,Crosilisk,Rare,949,0.26,14,No,No,No,No,No,No,Yes
94,Tetramon Rare,Crablox,Rare,1069,0.26,14,No,No,No,No,No,No,Yes
95,Tetramon Rare,Esmerock,Rare,1022,0.98,14,No,No,No,Yes,No,No,No
96,Tetramon Rare,Nimboculo,Rare,985,0.17,14,No,No,No,No,No,No,No
97,Tetramon Rare,Scarlios,Rare,913,0.35,14,No,No,No,No,No,No,No
98,Tetramon Rare,Luphire,Rare,675,2.85,14,No,No,Yes,No,No,No,No
99,Tetramon Rare,Twofrost,Rare,565,0.28,15,No,No,No,No,No,No,Yes
100,Tetramon Rare,Sharfin,Rare,721,0.41,15,No,No,No,No,No,No,Yes
101,Tetramon Rare,Trickstar,Rare,205,0.22,15,No,No,No,No,No,No,Yes
102,Tetramon Rare,Scarlios,Rare,915,2.75,15,No,No,Yes,No,No,No,No
103,Tetramon Rare,Nimboculo,Rare,988,4.79,15,No,Yes,No,No,No,No,No
104,Tetramon Rare,Esmerock,Rare,1022,0.77,15,No,No,No,Yes,No,No,No
105,Tetramon Rare,Muffleur,Rare,1237,0.18,15,No,No,No,No,No,No,Yes
106,Tetramon Rare,Lumie,Rare,1105,0.35,16,No,No,No,No,No,No,Yes
107,Tetramon Rare,Clawdos,Rare,865,0.22,16,No,No,No,No,No,No,Yes
108,Tetramon Rare,Twofrost,Rare,565,0.28,16,No,No,No,No,No,No,Yes
109,Tetramon Rare,Nimboculo,Rare,985,0.17,16,No,No,No,No,No,No,Yes
110,Tetramon Rare,Wispo,Rare,433,0.18,16,No,No,No,No,No,No,Yes
111,Tetramon Rare,Luphire,Rare,673,0.32,16,No,No,No,No,No,No,Yes
112,Tetramon Rare,Frizard,Rare,1297,0.15,16,No,No,No,No,No,No,Yes
113,Tetramon Rare,Twofrost,Rare,565,0.28,17,No,No,No,No,No,No,Yes
114,Tetramon Rare,Lumie,Rare,1105,0.35,17,No,No,No,No,No,No,Yes
115,Tetramon Rare,Muffleur,Rare,1237,0.18,17,No,No,No,No,No,No,Yes
116,Tetramon Rare,Budwing,Rare,1129,0.28,17,No,No,No,No,No,No,Yes
117,Tetramon Rare,Burpig,Rare,13,0.33,17,No,No,No,No,No,No,Yes
118,Tetramon Rare,Jeliclean,Rare,423,2.33,17,No,No,Yes,No,No,No,No
119,Tetramon Rare,Angez,Rare,531,2.19,17,No,No,Yes,No,No,No,No
120,Tetramon Rare,Decimite,Rare,109,0.1,18,No,No,No,No,No,No,Yes
121,Tetramon Rare,Dusko,Rare,769,0.14,18,No,No,No,No,No,No,Yes
122,Tetramon Rare,Mummog,Rare,445,0.26,18,No,No,No,No,No,No,Yes
123,Tetramon Rare,Muffleur,Rare,1237,0.18,18,No,No,No,No,No,No,Yes
124,Tetramon Rare,Minotos,Rare,385,0.27,18,No,No,No,No,No,No,Yes
125,Tetramon Rare,Wispo,Rare,433,0.18,18,No,No,No,No,No,No,Yes
126,Tetramon Rare,Forush,Rare,157,0.14,18,No,No,No,No,No,No,Yes
127,Tetramon Rare,Frizard,Rare,1297,0.15,19,No,No,No,No,No,No,Yes
128,Tetramon Rare,Angez,Rare,529,0.27,19,No,No,No,No,No,No,Yes
129,Tetramon Rare,Burpig,Rare,13,0.33,19,No,No,No,No,No,No,Yes
130,Tetramon Rare,Pupazz,Rare,301,0.34,19,No,No,No,No,No,No,Yes
131,Tetramon Rare,Luphire,Rare,673,0.32,19,No,No,No,No,No,No,Yes
132,Tetramon Rare,Amneshark,Rare,1273,0.18,19,No,No,No,No,No,No,Yes
133,Tetramon Rare,Twofrost,Rare,566,0.99,19,No,No,No,Yes,No,No,No
134,Tetramon Rare,Frizard,Rare,1299,3.17,20,No,No,Yes,No,No,No,No
135,Tetramon Rare,Clawdos,Rare,865,0.22,20,No,No,No,No,No,No,Yes
136,Tetramon Rare,Minotos,Rare,385,0.27,20,No,No,No,No,No,No,Yes
137,Tetramon Rare,Crablox,Rare,1071,2.05,20,No,No,Yes,No,No,No,No
138,Tetramon Rare,Nimboculo,Rare,986,0.61,20,No,No,No,Yes,No,No,No
139,Tetramon Rare,Wispo,Rare,433,0.18,20,No,No,No,No,No,No,Yes
140,Tetramon Rare,Forush,Rare,157,0.14,20,No,No,No,No,No,No,Yes
141,Tetramon Rare,Pyropeck,Rare,1345,0.38,21,No,No,No,No,No,No,Yes
142,Tetramon Rare,Wispo,Rare,433,0.18,21,No,No,No,No,No,No,Yes
143,Tetramon Rare,Trickstar,Rare,207,1.91,21,No,No,Yes,No,No,No,No
144,Tetramon Rare,Amneshark,Rare,1279,2.71,21,Yes,No,No,No,No,No,Yes
145,Tetramon Rare,Crosilisk,Rare,949,0.27,21,No,No,No,No,No,No,Yes
146,Tetramon Rare,Bonfiox,Rare,62,0.82,21,No,No,No,Yes,No,No,No
147,Tetramon Rare,Twofrost,Rare,565,0.28,21,No,No,No,No,No,No,Yes
148,Tetramon Rare,Sharfin,Rare,730,92.36,22,Yes,Yes,No,No,No,No,No
149,Tetramon Rare,Trickstar,Rare,205,0.22,22,No,No,No,No,No,No,Yes
150,Tetramon Rare,Clawdos,Rare,874,89.32,22,Yes,Yes,No,No,No,No,No
151,Tetramon Rare,Pyropeck,Rare,1345,0.38,22,No,No,No,No,No,No,Yes
152,Tetramon Rare,Dusko,Rare,769,0.14,22,No,No,No,No,No,No,Yes
